case_id,name,category,split,chain,tx_hash,frames,max_depth,staticcalls,delegatecalls,undecoded,events,replay_mode,replay_faithful,fidelity_note,gt_functions,gt_frame_hits
C18,MorphoBlue,price_oracle_manipulation,test,eth,0x256979ae169abb7fbbbbc14188742f4b9debf48b48ad5b5207cadcc99ccb493b,32,6,9,12,1,12,quick,True,gas matches chain (365349),borrow,22
C19,VINU,price_oracle_manipulation,test,eth,0xaf46a42fe1ed7193b25c523723dc047c7500e50a00ecb7bbb822d665adb3e1f3,53,4,23,0,5,18,quick,True,gas matches chain (769208),addLiquidityETH,13;19;25;31
C20,Kashi,price_oracle_manipulation,test,eth,0x3d163bfbec5686d428a6d43e45e2626a220cc4fcfac7620c620b82c1f2537c78,80,8,37,5,0,36,quick,True,gas matches chain (616504),withdraw,52;54
C21,JAY,reentrancy,dev,eth,0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,38,6,7,0,1,21,quick,True,gas matches chain (368666),buyJay,9;11;22;24
C22,Orion Protocol,reentrancy,test,eth,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,94,12,44,20,1,26,full,True,gas matches chain (897331),doSwapThroughOrionPool,33
C23,DFXFinance,reentrancy,test,eth,0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7,94,7,42,39,4,11,quick,True,gas matches chain (375210),flash;deposit,24;38
C24,Game,reentrancy,test,eth,0x0eb8f8d148508e752d9643ccf49ac4cb0c21cbad346b5bbcf2d06974d31bd5c4,127,82,41,0,1,0,quick,True,gas matches chain (794646),makeBid,2;5;8;11;14;17;20;23;26;29;32;35;38;41;44;47;50;53;56;59;62;65;68;71;74;77;80;83;86;89;92;95;98;101;104;107;110;113;116;119;122;125
C25,TINU,token_specific,dev,eth,0x6200bf5c43c214caa1177c3676293442059b4f39eb5dbae6cfd4e6ad16305668,39,5,19,0,1,14,quick,True,gas matches chain (426803),deliver,21;28
C26,BUNN,token_specific,test,bsc,0x24a68d2a4bbb02f398d3601acfd87b09f543d935fc24862c314aaf64c295acdb,26,4,7,0,0,9,full,False,gas differs: replay 838904 vs chain 1012928,deliver,10;18
C27,FDP,token_specific,test,bsc,0x09925028ce5d6a54801d04ff8f39e79af6c24289e84b301ddcdb6adfa51e901b,38,5,20,0,4,13,full,False,gas differs: replay 403528 vs chain 582128,deliver,21
C28,NUM,token_specific,test,eth,0x8a8145ab28b5d2a2e61d74c02c12350731f479b3175893de2014124f998bff32,58,7,15,18,3,13,quick,True,gas matches chain (315534),anySwapOutUnderlyingWithPermit,8
